x,y,demands,order
101.350613858772,320.237093901585,2.66,"117,256,320,436,733,851"
246.458018668991,127.19988178706,2.13,"67,133,177,261,895"
210.884028517633,162.994174385406,3.71,"34,220,426,454,559,592,650,710,810"
77.6240016174204,266.522967361136,3.24,"244,377,461,641,765,889,921"
324.714577175595,104.844363747329,2.88,"248,355,525,597,658,738,882"
459.076306808162,150.979717888788,7.11,"15,24,300,333,456,502,518,595,654,667,679,757,775,776,878,903,976,994"
220.112289678007,320.261266259567,5.34,"22,230,278,313,545,562,581,631,724,766,801,849,983"
70.0064516149464,360.315385423148,2.82,"89,167,286,299,437,659"
133.286973756436,268.105122339368,5.85,"75,108,206,219,268,318,389,393,599,611,669,831,941,1000"
65.5582072267668,309.98181052601,4.64,"17,62,103,257,259,528,588,648,755,916,968"
46.1206632294607,154.358816402787,3.97,"310,330,372,549,629,761,809,946,950"
18.043970087608,124.970761998174,4.42,"160,213,232,322,390,478,584,596,623,869,897"
256.742495204172,61.5767401036198,4.11,"38,193,345,373,469,612,625,651,681,695"
320.816821217777,395.189255233481,7.66,"59,125,158,168,189,190,224,348,364,368,391,459,564,622,691,802,887"
172.025057784413,151.540773975808,4.2,"91,129,202,236,341,561,635,652,876,996"
336.780704935764,455.23562342687,5.58,"114,191,198,208,323,417,464,472,494,546,566,754,814,922"
321.370438493293,70.0902055806475,3.19,"203,217,338,446,455,490,687,719"
469.378499646593,322.935583161176,6.59,"156,175,221,233,298,347,422,451,501,626,756,813,907,988,999"
246.984430470246,168.246620217689,3.04,"159,162,285,634,671,807,832"
252.062180801658,255.612704175501,3.08,"47,260,358,392,554,703,974"
391.706218607887,296.087698188615,3.56,"36,170,537,573,575,606,670,751,780,980"
330.027036618768,23.9709950270419,3.59,"139,171,444,449,598,791,861,929,948"
411.207028483257,232.289893065955,4.18,"71,247,359,407,423,524,637,912,925,972,973"
481.706277766756,93.1832862177825,6.38,"13,48,92,155,179,273,281,284,443,579,760,790,846,964,969"
122.316449867083,469.723637036611,2.68,"414,539,688,718,815,872,978"
306.220400475245,323.19668242412,6.15,"4,52,106,166,186,252,409,523,551,662,684,840,867,920,967"
187.657551818277,25.8615399874674,4.73,"262,326,396,445,468,483,497,781,892,935,938"
312.35489096737,186.531330558224,4.08,"16,90,325,541,607,805,811,900,908,951"
80.7250471970542,122.554262039318,4.95,"37,43,96,238,453,507,785,823,847,915,945"
348.009581507002,157.514777533697,2.51,"6,45,63,574,759,901"
8.19943739619953,292.433682333367,3.47,"10,397,484,488,542,715,825,859,928"
138.505971539896,407.745656792308,6.39,"14,18,81,173,309,441,463,517,558,601,614,627,737,911,934,936"
455.51663679664,235.617711481695,1.77,"73,439,708,792"
383.054701942879,397.238189807757,5.71,"8,19,225,269,308,339,578,594,762,830,852,926,995"
270.818882313557,211.999778396545,4.89,"54,223,289,301,331,415,505,538,639,672,774,885"
23.8515245431981,385.493533774389,4.51,"100,140,146,164,226,306,512,570,701,873,904"
99.507728734419,185.000783339821,5.75,"209,251,321,332,425,477,489,515,736,753,909,965,981"
9.46048157903485,461.997366863009,2.15,"46,258,319,324,680,826"
473.669443347461,374.76972114483,4.06,"2,69,109,249,296,385,499,527,748,927"
393.955488126383,21.0749210429548,3.84,"12,121,277,336,536,552,604,725,992"
205.202284659432,387.213483852541,7.7,"55,110,122,131,176,235,405,429,462,590,647,656,694,770,886,890,933,962"
486.696119782236,460.726847226352,3.22,"61,87,297,585,702,857,865"
408.260655672046,157.114738612884,5.04,"20,152,265,305,378,473,511,555,560,620,692,772"
209.37110174846,7.51740235324995,1.25,"104,506,664"
38.5378100388313,418.44011865271,3.9,"128,360,387,442,591,677,786,961"
89.4096995137252,45.9739628891814,6.83,"29,35,80,118,138,237,292,529,587,593,617,803,822,853,858,906"
440.505202952204,270.807287935144,3.74,"153,460,509,613,713,789,795,808,820,942"
169.102174616625,483.372818920938,3.76,"116,192,240,406,413,424,621,740,998"
362.602346096359,259.477022009773,3.78,"3,94,194,282,428,788,881,960,975"
28.3134974008413,25.4351836755968,8.07,"7,119,182,188,231,275,302,312,411,521,535,540,609,697,699,797,910,913,993"
351.222437322151,202.562469907506,5.59,"78,147,246,340,370,492,498,534,633,673,728,844,883"
40.1912708834885,342.931450286363,4.31,"70,157,196,382,395,418,632,729,917,932"
379.447282262933,129.741320097665,3.09,"184,211,401,698,819,877,880,894"
55.6696073126061,480.12657670502,5.46,"74,115,150,197,207,474,544,644,674,726,747,835,919"
480.962351780698,263.205780264529,3.21,"107,250,280,293,349,408,480,630"
287.08190349965,105.625765863977,4.21,"137,350,353,365,412,615,712,771,827,963"
